battery_pack,hybrid_inverter,status,controller_available,verification_type,verification_date,battery_part_number,battery_revision,inverter_firmware_min,bms_ev_firmware_min,hardware_revision,source,notes
BMW i3 (all sizes) (18/22/40 kWh),FoxESS H3 Pro,in_catalog,yes,protocol_verified,,BMW SME 61 62 8 632 xxx (60 Ah) / 61 62 8 632 xxx (94 Ah) / 61 62 8 787 xxx (120 Ah),2014-2022 (three generations),,15.0.14,HW3.1,openinverter.org/wiki/BMW_I3 + BMW SME LIN wake,
BMW i3 (all sizes) (18/22/40 kWh),FoxESS H3 Smart,in_catalog,yes,protocol_verified,,BMW SME 61 62 8 632 xxx (60 Ah) / 61 62 8 632 xxx (94 Ah) / 61 62 8 787 xxx (120 Ah),2014-2022 (three generations),,15.0.14,HW3.1,openinverter.org/wiki/BMW_I3 + BMW SME LIN wake,
BMW i3 (all sizes) (18/22/40 kWh),FoxESS H3/AC3,in_catalog,yes,protocol_verified,,BMW SME 61 62 8 632 xxx (60 Ah) / 61 62 8 632 xxx (94 Ah) / 61 62 8 787 xxx (120 Ah),2014-2022 (three generations),,15.0.14,HW3.1,openinverter.org/wiki/BMW_I3 + BMW SME LIN wake,
BMW i3 (all sizes) (18/22/40 kWh),Fronius Primo Gen24 Plus,in_catalog,yes,protocol_verified,,BMW SME 61 62 8 632 xxx (60 Ah) / 61 62 8 632 xxx (94 Ah) / 61 62 8 787 xxx (120 Ah),2014-2022 (three generations),,15.0.14,HW3.1,openinverter.org/wiki/BMW_I3 + BMW SME LIN wake,
BMW i3 (all sizes) (18/22/40 kWh),Fronius Symo Gen24 Plus,in_catalog,yes,protocol_verified,,BMW SME 61 62 8 632 xxx (60 Ah) / 61 62 8 632 xxx (94 Ah) / 61 62 8 787 xxx (120 Ah),2014-2022 (three generations),,15.0.14,HW3.1,openinverter.org/wiki/BMW_I3 + BMW SME LIN wake,
BMW i3 (all sizes) (18/22/40 kWh),Fronius Symo Hybrid 3.0/4.0/5.0-3-S,in_catalog,yes,protocol_verified,,BMW SME 61 62 8 632 xxx (60 Ah) / 61 62 8 632 xxx (94 Ah) / 61 62 8 787 xxx (120 Ah),2014-2022 (three generations),,15.0.14,HW3.1,openinverter.org/wiki/BMW_I3 + BMW SME LIN wake,
BMW i3 (all sizes) (18/22/40 kWh),Fronius Verto Plus 15-33kW,in_catalog,yes,protocol_verified,,BMW SME 61 62 8 632 xxx (60 Ah) / 61 62 8 632 xxx (94 Ah) / 61 62 8 787 xxx (120 Ah),2014-2022 (three generations),,15.0.14,HW3.1,openinverter.org/wiki/BMW_I3 + BMW SME LIN wake,
BMW i3 (all sizes) (18/22/40 kWh),GoodWe A-ES hybrid inverter (America Split Phase),in_catalog,yes,protocol_verified,,BMW SME 61 62 8 632 xxx (60 Ah) / 61 62 8 632 xxx (94 Ah) / 61 62 8 787 xxx (120 Ah),2014-2022 (three generations),,15.0.14,HW3.1,openinverter.org/wiki/BMW_I3 + BMW SME LIN wake,
BMW i3 (all sizes) (18/22/40 kWh),GoodWe BH AC battery inverter,in_catalog,yes,protocol_verified,,BMW SME 61 62 8 632 xxx (60 Ah) / 61 62 8 632 xxx (94 Ah) / 61 62 8 787 xxx (120 Ah),2014-2022 (three generations),,15.0.14,HW3.1,openinverter.org/wiki/BMW_I3 + BMW SME LIN wake,
BMW i3 (all sizes) (18/22/40 kWh),GoodWe BT AC battery inverter,in_catalog,yes,protocol_verified,,BMW SME 61 62 8 632 xxx (60 Ah) / 61 62 8 632 xxx (94 Ah) / 61 62 8 787 xxx (120 Ah),2014-2022 (three generations),,15.0.14,HW3.1,openinverter.org/wiki/BMW_I3 + BMW SME LIN wake,
